target_count,algorithm,comm_label,horizon,metric,metric_display,available,n,mean,median,standard_deviation,standard_error,minimum,maximum,required_metric
5,ACBBA,ideal,2,max_individual_steps,Maximum individual movement workload (steps),1,25,21.56,21,3.77580013595353,0.755160027190705,11,29,0
5,ACBBA,ideal,2,max_robot_steps,Makespan (maximum robot steps),1,25,21.56,21,3.77580013595353,0.755160027190705,11,29,1
5,ACBBA,ideal,2,max_target_workload,Maximum target workload on one robot,1,25,2.36,2,0.489897948556636,0.0979795897113271,2,3,0
5,ACBBA,ideal,2,movement_workload_gini,Movement-workload Gini,1,25,0.292313813496068,0.298076923076923,0.1141871704976,0.02283743409952,0.107142857142857,0.472222222222222,0
5,ACBBA,ideal,2,target_workload_gini,Target-workload Gini,1,25,0.318,0.35,0.137598449603669,0.0275196899207337,0.15,0.55,0
5,ACBBA,ideal,2,total_messages,Total messages,1,25,179.24,173,41.9138799603823,8.38277599207645,116,282,0
5,ACBBA,ideal,2,total_team_steps,Total team steps,1,25,47.2,48,11.4637108593451,2.29274217186902,29,72,1
5,ACBBA,ideal,3,active_robot_count,Active robots completing at least one target,1,25,2.88,3,0.6,0.12,2,4,0
5,ACBBA,ideal,3,allocation_messages,Allocation messages,1,25,95.68,88,35.9938883701108,7.19877767402217,51,208,0
5,ACBBA,ideal,3,allocator_time_ms,Allocator computation time (ms),1,25,40.24216,38.6813,12.3734807502443,2.47469615004886,16.6368,70.2523,0
5,ACBBA,ideal,3,final_completion_time,Final simulated mission-completion time (s),1,25,39.5258066766364,39.6688746759271,6.92993084613983,1.38598616922797,24.6836614266309,55.9007820447228,0
5,ACBBA,ideal,3,max_individual_steps,Maximum individual movement workload (steps),1,25,23.24,23,4.15611998543513,0.831223997087027,14,33,0
5,ACBBA,ideal,3,max_robot_steps,Makespan (maximum robot steps),1,25,23.24,23,4.15611998543513,0.831223997087027,14,33,1
5,ACBBA,ideal,3,max_target_workload,Maximum target workload on one robot,1,25,2.6,3,0.577350269189626,0.115470053837925,2,4,0
5,ACBBA,ideal,3,movement_workload_gini,Movement-workload Gini,1,25,0.316473819683174,0.336538461538461,0.13340220848068,0.026680441696136,0.070754716981132,0.489130434782609,0
5,ACBBA,ideal,3,target_workload_gini,Target-workload Gini,1,25,0.41,0.45,0.129099444873581,0.0258198889747161,0.15,0.65,0
5,ACBBA,ideal,3,total_messages,Total messages,1,25,199.84,187,51.668559105127,10.3337118210254,130,343,0
5,ACBBA,ideal,3,total_team_steps,Total team steps,1,25,48.04,49,9.92253327868779,1.98450665573756,31,68,1
5,ACBBA,ideal,5,active_robot_count,Active robots completing at least one target,1,25,2.44,2,0.916515138991168,0.183303027798234,1,4,0
5,ACBBA,ideal,5,allocation_messages,Allocation messages,1,25,95.48,86,37.8231851294062,7.56463702588124,36,196,0
5,ACBBA,ideal,5,allocator_time_ms,Allocator computation time (ms),1,25,51.802596,55.8564,17.1003059526353,3.42006119052705,13.829,85.184,0
5,ACBBA,ideal,5,final_completion_time,Final simulated mission-completion time (s),1,25,46.6270219452827,47.7245951995485,10.6138906860884,2.12277813721769,17.1423359011856,62.4097136109502,0
5,ACBBA,ideal,5,max_individual_steps,Maximum individual movement workload (steps),1,25,27.08,28,5.93660958235703,1.18732191647141,11,36,0
5,ACBBA,ideal,5,max_robot_steps,Makespan (maximum robot steps),1,25,27.08,28,5.93660958235703,1.18732191647141,11,36,1
5,ACBBA,ideal,5,max_target_workload,Maximum target workload on one robot,1,25,3.32,3,1.0295630140987,0.20591260281974,2,5,0
5,ACBBA,ideal,5,movement_workload_gini,Movement-workload Gini,1,25,0.42135085428973,0.409574468085106,0.157544439365909,0.0315088878731818,0.0681818181818181,0.664285714285714,0
5,ACBBA,ideal,5,target_workload_gini,Target-workload Gini,1,25,0.51,0.55,0.187082869338697,0.0374165738677394,0.15,0.75,0
5,ACBBA,ideal,5,total_messages,Total messages,1,25,190.68,174,61.830898424655,12.366179684931,102,380,0
5,ACBBA,ideal,5,total_team_steps,Total team steps,1,25,43.76,41,12.4575278446408,2.49150556892815,29,86,1
5,ACBBA,ideal,8,active_robot_count,Active robots completing at least one target,1,25,2.44,2,0.916515138991168,0.183303027798234,1,4,0
5,ACBBA,ideal,8,allocation_messages,Allocation messages,1,25,95.48,86,37.8231851294062,7.56463702588124,36,196,0
5,ACBBA,ideal,8,allocator_time_ms,Allocator computation time (ms),1,25,54.877088,53.1882,21.0511689212127,4.21023378424255,15.087,89.3046,0
5,ACBBA,ideal,8,final_completion_time,Final simulated mission-completion time (s),1,25,46.6270219452827,47.7245951995485,10.6138906860884,2.12277813721769,17.1423359011856,62.4097136109502,0
5,ACBBA,ideal,8,max_individual_steps,Maximum individual movement workload (steps),1,25,27.08,28,5.93660958235703,1.18732191647141,11,36,0
5,ACBBA,ideal,8,max_robot_steps,Makespan (maximum robot steps),1,25,27.08,28,5.93660958235703,1.18732191647141,11,36,1
5,ACBBA,ideal,8,max_target_workload,Maximum target workload on one robot,1,25,3.32,3,1.0295630140987,0.20591260281974,2,5,0
5,ACBBA,ideal,8,movement_workload_gini,Movement-workload Gini,1,25,0.42135085428973,0.409574468085106,0.157544439365909,0.0315088878731818,0.0681818181818181,0.664285714285714,0
5,ACBBA,ideal,8,target_workload_gini,Target-workload Gini,1,25,0.51,0.55,0.187082869338697,0.0374165738677394,0.15,0.75,0
5,ACBBA,ideal,8,total_messages,Total messages,1,25,190.68,174,61.830898424655,12.366179684931,102,380,0
5,ACBBA,ideal,8,total_team_steps,Total team steps,1,25,43.76,41,12.4575278446408,2.49150556892815,29,86,1
5,ACBBA,ideal,12,active_robot_count,Active robots completing at least one target,1,25,2.44,2,0.916515138991168,0.183303027798234,1,4,0
5,ACBBA,ideal,12,allocation_messages,Allocation messages,1,25,95.48,86,37.8231851294062,7.56463702588124,36,196,0
5,ACBBA,ideal,12,allocator_time_ms,Allocator computation time (ms),1,25,55.313032,54.2839,19.9342415690674,3.98684831381347,11.8474,98.1919,0
