target_count,algorithm,selection_metric,candidate_set,candidate_horizons,horizon,eligible,mean_response,standard_error,selected_horizon,selected,paired_trial_n,normalization,analysis_scope
10,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,3,1,67.14,2.01318984036115,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,5,1,59,1.65126214353344,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,8,1,58.84,2.02293516126115,12,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,HIPC,total_team_steps,exclude_horizon_1,2;3;5;8;12,12,1,57.8,1.76328292303495,12,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,1,1,24.38,0.617305974915735,1,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,2,1,26.62,0.727025905086378,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,3,1,29.88,0.99886602371556,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,5,1,34.82,1.24895956699967,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,8,1,35.18,1.1908960212098,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,PI,max_robot_steps,all_horizons,1;2;3;5;8;12,12,1,43.32,1.78719519545758,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
10,PI,max_robot_steps,exclude_horizon_1,2;3;5;8;12,1,0,24.38,0.617305974915735,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
